지점번호,지점명,일시,평균기온(℃),최고기온(℃),최고기온시각,최저기온(℃),최저기온시각,일교차
108,서울,2017-01-01,2.7,6.9,14:19,-1.6,5:40,",8.5"
108,서울,2017-01-02,5,9.2,13:55,1.8,23:55,",7.4"
108,서울,2017-01-03,2,7.7,14:44,-2.3,7:31,",10"
108,서울,2017-01-04,3.9,8.9,15:19,1,0:01,",7.9"
108,서울,2017-01-05,3.8,7.3,14:44,-0.1,3:16,",7.4"
108,서울,2017-01-06,5.4,11.4,15:48,2.5,8:04,",8.9"
108,서울,2017-01-07,4.6,10.5,13:27,0,8:15,",10.5"
108,서울,2017-01-08,6.5,10.9,13:50,4,4:58,",6.9"
108,서울,2017-01-09,1.5,4.3,14:54,-3.1,23:57,",7.4"
108,서울,2017-01-10,-3.7,1.1,13:09,-7.4,23:49,",8.5"
108,서울,2017-01-11,-3.8,1.5,14:05,-9.4,7:45,",10.9"
108,서울,2017-01-12,-2.2,1,13:55,-6.1,23:53,",7.1"
108,서울,2017-01-13,-6,-1.4,15:00,-8.6,22:50,",7.2"
108,서울,2017-01-14,-8.4,-5.4,14:37,-10.5,7:59,",5.1"
108,서울,2017-01-15,-6.6,-0.9,15:48,-11.5,7:48,",10.6"
108,서울,2017-01-16,-3.8,4,14:42,-8.9,7:19,",12.9"
108,서울,2017-01-17,-2,3.4,15:19,-7.1,7:36,",10.5"
108,서울,2017-01-18,-0.5,2.8,15:11,-3,7:57,",5.8"
108,서울,2017-01-19,-1.2,4.7,15:05,-4.9,7:41,",9.6"
108,서울,2017-01-20,-4.4,-1.4,0:01,-7.8,23:57,",6.4"
108,서울,2017-01-21,-5.2,-0.9,12:48,-10,6:41,",9.1"
108,서울,2017-01-22,-8.3,-3.3,0:01,-10.9,23:31,",7.6"
108,서울,2017-01-23,-8.9,-4.1,15:52,-12.6,5:48,",8.5"
108,서울,2017-01-24,-7,-1.3,15:30,-11.6,4:19,",10.3"
108,서울,2017-01-25,-5.2,0.9,15:09,-10.2,6:50,",11.1"
108,서울,2017-01-26,-1.3,3.4,14:19,-7.9,6:24,",11.3"
108,서울,2017-01-27,-2.6,3.1,0:01,-5.7,23:48,",8.8"
108,서울,2017-01-28,-1.6,4.3,13:54,-8.2,6:49,",12.5"
108,서울,2017-01-29,0.8,2.5,10:29,-0.9,23:46,",3.4"
108,서울,2017-01-30,-4.8,-0.9,0:01,-7.9,23:54,",7"
108,서울,2017-01-31,-5.4,0.2,15:10,-9.9,4:22,",10.1"
108,서울,2017-02-01,-4,0.7,14:22,-7.5,23:57,",8.2"
108,서울,2017-02-02,-2.7,3.3,15:11,-9.2,6:59,",12.5"
108,서울,2017-02-03,1.5,6.7,14:45,-2.3,7:21,",9"
108,서울,2017-02-04,0.9,3.2,14:22,-2.9,6:46,",6.1"
108,서울,2017-02-05,1.2,2.3,0:01,-1.5,23:52,",3.8"
108,서울,2017-02-06,-1.7,2.6,16:44,-4.4,7:44,",7"
108,서울,2017-02-07,-2,3,15:12,-5.6,6:31,",8.6"
108,서울,2017-02-08,-2.2,0.6,13:51,-4.9,6:22,",5.5"
108,서울,2017-02-09,-5.3,-2.1,13:32,-7.1,23:53,",5"
108,서울,2017-02-10,-6.6,-2.5,15:20,-9.3,7:09,",6.8"
108,서울,2017-02-11,-4.8,0.8,15:14,-9.2,4:51,",10"
108,서울,2017-02-12,-2.2,4.2,14:37,-7.4,7:06,",11.6"
108,서울,2017-02-13,0.1,6.1,14:40,-5.4,7:09,",11.5"
108,서울,2017-02-14,0.3,6.5,15:06,-4,7:59,",10.5"
108,서울,2017-02-15,1.8,8,15:24,-3.9,7:33,",11.9"
108,서울,2017-02-16,5.5,10.3,20:01,-1.9,7:27,",12.2"
108,서울,2017-02-17,0.8,9,0:01,-5.2,23:56,",14.2"
108,서울,2017-02-18,-2.6,2.9,15:24,-7,6:24,",9.9"
108,서울,2017-02-19,2.3,5.7,17:15,-3.4,6:47,",9.1"
108,서울,2017-02-20,-1.5,5.4,0:02,-5.2,23:53,",10.6"
108,서울,2017-02-21,-0.6,6.9,15:39,-7.6,7:12,",14.5"
108,서울,2017-02-22,1.7,2.9,9:13,-0.9,23:53,",3.8"
108,서울,2017-02-23,-1.5,2.1,14:48,-4.2,23:48,",6.3"
108,서울,2017-02-24,-0.8,4.4,14:12,-5.8,5:58,",10.2"
108,서울,2017-02-25,2.6,8.4,15:22,-2.8,7:07,",11.2"
108,서울,2017-02-26,3.6,10.1,14:43,-1.5,7:12,",11.6"
108,서울,2017-02-27,3.7,10.7,14:16,-1.8,7:30,",12.5"
108,서울,2017-02-28,5.6,12.3,15:04,-1.3,7:17,",13.6"
